"","population_table$State","population_table$`Population estimate, July 1, 2019[2]`"
"1","California","39,512,223"
"2","Texas","28,995,881"
"3","New York","21,477,737"
"4","Florida","19,453,561"
"5","Illinois","12,801,989"
"6","Pennsylvania","12,671,821"
"7","Ohio","11,689,100"
"8","Georgia","10,617,423"
"9","North Carolina","10,488,084"
"10","Michigan","9,986,857"
"11","New Jersey","8,882,190"
"12","Virginia","8,535,519"
"13","Washington","7,614,893"
"14","Arizona","7,278,717"
"15","Massachusetts","6,949,503"
"16","Tennessee","6,833,174"
"17","Indiana","6,732,219"
"18","Missouri","6,137,428"
"19","Maryland","6,045,680"
"20","Wisconsin","5,822,434"
"21","Colorado","5,758,736"
"22","Minnesota","5,639,632"
"23","South Carolina","5,148,714"
"24","Alabama","4,903,185"
"25","Louisiana","4,648,794"
"26","Kentucky","4,467,673"
"27","Oregon","4,217,737"
"28","Oklahoma","3,956,971"
"29","Connecticut","3,565,287"
"30","Utah","3,205,958"
"31","Iowa","3,155,070"
"32","Nevada","3,080,156"
"33","Arkansas","3,017,825"
"34","Mississippi","2,976,149"
"35","Kansas","2,913,314"
"36","New Mexico","2,096,829"
"37","Nebraska","1,934,408"
"38","Idaho","1,787,065"
"39","West Virginia","1,792,147"
"40","Hawaii","1,415,872"
"41","New Hampshire","1,359,711"
"42","Maine","1,344,212"
"43","Montana","1,068,778"
"44","Rhode Island","1,059,361"
"45","Delaware","973,764"
"46","South Dakota","884,659"
"47","North Dakota","762,062"
"48","Alaska","731,545"
"49","District of Columbia","705,749"
"50","Vermont","623,989"
"51","Wyoming","578,759"
